IMG_NO,"이미지 (전, 좌, 후, 우)",Unnamed: 2,Unnamed: 3,Unnamed: 4,공식 제품 명,장난감 종류,소재
0,img_0000_front,img_0000_left,img_0000_rear,img_0000_right,디즈니 픽사 토이스토리 피규어 우디 불스아이,피규어,"plastic, fabric"
1,img_0001_front,img_0001_left,img_0001_rear,img_0001_right,토이스토리 4 피규어 말하는 버즈라이트이어 인형 굿즈,건전지 장난감 (사운드북 포함),plastic
2,img_0002_front,img_0002_left,img_0002_rear,img_0002_right,디즈니 픽사 토이스토리 피규어 우디 불스아이,피규어,plastic
3,img_0003_front,img_0003_left,img_0003_rear,img_0003_right,미니특공대 슈퍼공룡파워 티라노 썬더 로봇,변신 로봇,plastic
4,img_0004_front,img_0004_left,img_0004_rear,img_0004_right,파워레인저 엔진포스 캐리건킹,자동차 장난감,plastic
5,img_0005_front,img_0005_left,img_0005_rear,img_0005_right,꿍곰돌이 카메라,비건전지 장난감 (,plastic
6,img_0006_front,img_0006_left,img_0006_rear,img_0006_right,아기와 놀아주는 꼬꼬맘,건전지 장난감 (사운드북 포함),plastic
7,img_0007_front,img_0007_left,img_0007_rear,img_0007_right,아동 뽀로로 동요 라이트 프릭션 레미콘 장난감,자동차 장난감,plastic
8,img_0008_front,img_0008_left,img_0008_rear,img_0008_right,플레이맥스 작동하는 주방놀이 토스터기,비건전지 장난감 (,plastic
9,img_0009_front,img_0009_left,img_0009_rear,img_0009_right,튤립_사운드북,건전지 장난감 (사운드북 포함),plastic
10,img_0010_front,img_0010_left,img_0010_rear,img_0010_right,엄마표걸음마 끌기 장난감 ?,비건전지 장난감 (,plastic
11,img_0011_front,img_0011_left,img_0011_rear,img_0011_right,쥬라기월드 공룡완구,피규어,plastic
12,img_0012_front,img_0012_left,img_0012_rear,img_0012_right,원목 롤러코스터 자동차 외 교구 세트,나무 장난감,wood
13,img_0013_front,img_0013_left,img_0013_rear,img_0013_right,에디슨 큐브퍼즐/색상큐브-민자형,비건전지 장난감 (,plastic
14,img_0014_front,img_0014_left,img_0014_rear,img_0014_right,뽀롱뽀롱 뽀로로 꼬마 도서관,건전지 장난감 (사운드북 포함),plastic
