,,,,,,,,,,,,,
,IMG_NO,"이미지 (전, 좌, 후, 우)",,,,공식 제품 명,장난감 종류,소재,부품이 모두 있는가,오염도,기부 가능 여부 (리사이클링),일부 재활용 가능 여부 (업사이클링),리사이클링 또는 업사이클링 불가 이유
,0000,img_0000_front,img_0000_left,img_0000_rear,img_0000_right,,피규어,"플라스틱, 천",있음,깨끗 (미세소독 필요),불가능,가능,천 소재가 포함되어 있음.
,0001,img_0001_front,img_0001_left,img_0001_rear,img_0001_right,,건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0002,img_0002_front,img_0002_left,img_0002_rear,img_0002_right,,피규어,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0003,img_0003_front,img_0003_left,img_0003_rear,img_0003_right,,변신 로봇,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0004,img_0004_front,img_0004_left,img_0004_rear,img_0004_right,,자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0005,img_0005_front,img_0005_left,img_0005_rear,img_0005_right,,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0006,img_0006_front,img_0006_left,img_0006_rear,img_0006_right,,건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0007,img_0007_front,img_0007_left,img_0007_rear,img_0007_right,,자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0008,img_0008_front,img_0008_left,img_0008_rear,img_0008_right,,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0009,img_0009_front,img_0009_left,img_0009_rear,img_0009_right,,건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0010,img_0010_front,img_0010_left,img_0010_rear,img_0010_right,,비건전지 장난감 (,플라스틱,판단 불가,깨끗 (미세소독 필요),불가능,가능,장난감 용도 불분명
,0011,img_0011_front,img_0011_left,img_0011_rear,img_0011_right,,피규어,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0012,img_0012_front,img_0012_left,img_0012_rear,img_0012_right,,나무 장난감,나무,있음,깨끗 (미세소독 필요),불가능,불가능,나무 소재
,0013,img_0013_front,img_0013_left,img_0013_rear,img_0013_right,,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0014,img_0014_front,img_0014_left,img_0014_rear,img_0014_right,,건전지 장난감 (사운드북 포함),플라스틱,있음,보통,가능,,
,0015,img_0015_front,img_0015_left,img_0015_rear,img_0015_right,,건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0016,img_0016_front,img_0016_left,img_0016_rear,img_0016_right,,건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요),가능,,
,0017,img_0017_front,img_0017_left,img_0017_rear,img_0017_right,,나무 장난감,나무,있음,깨끗 (미세소독 필요),불가능,불가능,나무 소재
,0018,img_0018_front,img_0018_left,img_0018_rear,img_0018_right,,나무 장난감,나무,있음,깨끗 (미세소독 필요),불가능,불가능,나무 소재
,0019,img_0019_front,img_0019_left,img_0019_rear,img_0019_right,,자동차 장난감,플라스틱,있음,보통,불가능,가능,파손
,0020,img_0020_front,img_0020_left,img_0020_rear,img_0020_right,,인형,"나무, 천",있음,보통,불가능,불가능,"천, 나무 소재"
,0021,img_0021_front,img_0021_left,img_0021_rear,img_0021_right,,피규어,"플라스틱, 실리콘",일부 없음,더러움 (재활용 불가),불가능,불가능,"소재 혼합(완전 분해 가능성 낮음), 파손"
,0022,img_0022_front,img_0022_left,img_0022_rear,img_0022_right,,인형,천,있음,보통,불가능,불가능,천 소재
,0023,img_0023_front,img_0023_left,img_0023_rear,img_0023_right,,자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요),불가능,가능,오른쪽 앞바퀴 파손
,0024,img_0024_front,img_0024_left,img_0024_rear,img_0024_right,,건전지 장난감 (사운드북 포함),플라스틱,일부 없음,더러움 (재활용 불가),불가능,가능,대부분 부품이 없음
,0025,img_0025_front,img_0025_left,img_0025_rear,img_0025_right,,비건전지 장난감 (,실리콘,있음,깨끗 (미세소독 필요),불가능,불가능,실리콘 소재
,0026,img_0026_front,img_0026_left,img_0026_rear,img_0026_right,,건전지 장난감 (사운드북 포함),플라스틱,일부 없음,보통,불가능,가능,드럼스틱과 드럼 없음
,0027,img_0027_front,img_0027_left,img_0027_rear,img_0027_right,,건전지 장난감 (사운드북 포함),플라스틱,일부 없음,보통,불가능,가능,4번째 문 부품 없음
,0028,img_0028_front,img_0028_left,img_0028_rear,img_0028_right,,플라스틱으로만 된 장난감부품 (큰것),플라스틱,있음,보통,불가능,가능,스크래치 많음
,0029,img_0029_front,img_0029_left,img_0029_rear,img_0029_right,,건전지 장난감 (사운드북 포함),플라스틱,일부 없음,더러움 (재활용 불가),불가능,가능,많이 부서짐
,0030,img_0030_front,img_0030_left,img_0030_rear,img_0030_right,,자동차 장난감,플라스틱,있음,보통,불가능,가능,창문 스크래치 많음
,0031,img_0031_front,img_0031_left,img_0031_rear,img_0031_right,,건전지 장난감 (사운드북 포함),플라스틱,일부 없음,보통,불가능,가능,"부서진 부분, 사용감 많음"
,0032,img_0032_front,img_0032_left,img_0032_rear,img_0032_right,,자동차 장난감,플라스틱,일부 없음,보통,불가능,가능,사용감 많음
,0033,img_0033_front,img_0033_left,img_0033_rear,img_0033_right,,비건전지 장난감 (,실리콘,있음,깨끗 (미세소독 필요),불가능,불가능,실리콘
,0034,img_0034_front,img_0034_left,img_0034_rear,img_0034_right,,건전지 장난감 (사운드북 포함),플라스틱,일부 없음,더러움 (재활용 불가),불가능,가능,더러움
,0035,img_0035_front,img_0035_left,img_0035_rear,img_0035_right,,자동차 장난감,플라스틱,일부 없음,더러움 (재활용 불가),불가능,가능,파손이 많이 됨
,0036,img_0036_front,img_0036_left,img_0036_rear,img_0036_right,,기타,플라스틱,판단 불가,보통,불가능,가능,용도 불분명
,0037,img_0037_front,img_0037_left,img_0037_rear,img_0037_right,,자동차 장난감,플라스틱,일부 없음,보통,불가능,가능,자동차 바퀴 부품 없음
,0038,img_0038_front,img_0038_left,img_0038_rear,img_0038_right,,자동차 장난감,플라스틱,일부 없음,보통,불가능,가능,빨간 창문 부서짐
,0039,img_0039_front,img_0039_left,img_0039_rear,img_0039_right,,건전지 장난감 (사운드북 포함),플라스틱,판단 불가,보통,불가능,가능,부품이 일부 없음
,0040,img_0040_front,img_0040_left,img_0040_rear,img_0040_right,,플라스틱으로만 된 장난감부품 (큰것),플라스틱,판단 불가,보통,불가능,가능,완제품 아님
,0041,img_0041_front,img_0041_left,img_0041_rear,img_0041_right,,플라스틱으로만 된 장난감부품 (큰것),플라스틱,있음,더러움 (재활용 불가),불가능,가능,어느 장난감 부품인 거 같음. 완제품 아님
,0042,img_0042_front,img_0042_left,img_0042_rear,img_0042_right,,자동차 장난감,플라스틱,일부 없음,더러움 (재활용 불가),불가능,가능,파손이 많음
,0043,img_0043_front,img_0043_left,img_0043_rear,img_0043_right,,변신 로봇,플라스틱,일부 없음,더러움 (재활용 불가),불가능,가능,파손이 많음
,0044,img_0044_front,img_0044_left,img_0044_rear,img_0044_right,,건전지 장난감 (사운드북 포함),플라스틱,판단 불가,보통,불가능,가능,완제품 아닌거 같음
,0045,img_0045_front,img_0045_left,img_0045_rear,img_0045_right,,피규어,플라스틱,일부 없음,보통,불가능,가능,팔이 없음
,0046,img_0046_front,img_0046_left,img_0046_rear,img_0046_right,,자동차 장난감,플라스틱,일부 없음,더러움 (재활용 불가),불가능,가능,"파란 등 깨짐, 더러움"
