IMG_NO,이미지파일,실제_기부가능여부,AI_예측_기부가능여부,정확도,AI_장난감종류,AI_재료,AI_파손,AI_오염도,AI_기부불가사유,실제_장난감종류,실제_재료,실제_부품완전성,실제_오염도
0000,img_0000_front,불가능,불가능,정확,피규어,플라스틱,미세한 파손,깨끗,경미한 문제로 수리 필요,피규어,"플라스틱, 천",있음,깨끗 (미세소독 필요)
0001,img_0001_front,가능,가능,정확,피규어,플라스틱,미세한 파손,깨끗,"플라스틱 건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
0002,img_0002_front,가능,가능,정확,피규어,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",피규어,플라스틱,있음,깨끗 (미세소독 필요)
0003,img_0003_front,가능,가능,정확,변신 로봇,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",변신 로봇,플라스틱,있음,깨끗 (미세소독 필요)
0004,img_0004_front,가능,불가능,오류,탈것,플라스틱,없음,깨끗,탈것은 기부 불가 종류,자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요)
0005,img_0005_front,가능,가능,정확,건전지 장난감,플라스틱,없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
0006,img_0006_front,가능,가능,정확,건전지 장난감,플라스틱,없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
0007,img_0007_front,가능,가능,정확,자동차 장난감,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요)
0008,img_0008_front,가능,가능,정확,기타,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
0009,img_0009_front,가능,가능,정확,건전지 장난감,플라스틱,없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
0010,img_0010_front,불가능,불가능,정확,탈것,"플라스틱,섬유",없음,깨끗,천/섬유 소재는 위생상 기부 불가,비건전지 장난감 (,플라스틱,판단 불가,깨끗 (미세소독 필요)
0011,img_0011_front,가능,불가능,오류,피규어,플라스틱,판단 불가,깨끗,경미한 문제로 수리 필요,피규어,플라스틱,있음,깨끗 (미세소독 필요)
0012,img_0012_front,불가능,불가능,정확,나무 장난감,나무,없음,깨끗,나무 소재는 안전상 기부 불가,나무 장난감,나무,있음,깨끗 (미세소독 필요)
0013,img_0013_front,가능,가능,정확,블록,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
0014,img_0014_front,가능,가능,정확,건전지 장난감,플라스틱,없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,있음,보통
0015,img_0015_front,가능,가능,정확,기타,플라스틱,없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
0016,img_0016_front,가능,가능,정확,건전지 장난감,플라스틱,없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
0017,img_0017_front,불가능,불가능,정확,나무 장난감,나무,없음,깨끗,나무 소재는 안전상 기부 불가,나무 장난감,나무,있음,깨끗 (미세소독 필요)
0018,img_0018_front,불가능,불가능,정확,나무 장난감,나무,없음,깨끗,나무 소재는 안전상 기부 불가,나무 장난감,나무,있음,깨끗 (미세소독 필요)
0019,img_0019_front,불가능,가능,오류,자동차 장난감,플라스틱,미세한 파손,보통,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,있음,보통
0020,img_0020_front,불가능,불가능,정확,탈것,"플라스틱,섬유",미세한 파손,깨끗,천/섬유 소재는 위생상 기부 불가,인형,"나무, 천",있음,보통
0021,img_0021_front,불가능,불가능,정확,피규어,플라스틱,부품 누락,깨끗,경미한 문제로 수리 필요,피규어,"플라스틱, 실리콘",일부 없음,더러움 (재활용 불가)
0022,img_0022_front,불가능,불가능,정확,인형,"섬유/천,플라스틱",없음,깨끗,천/섬유 소재는 위생상 기부 불가,인형,천,있음,보통
0023,img_0023_front,불가능,가능,오류,자동차 장난감,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요)
0024,img_0024_front,불가능,가능,오류,기타,플라스틱,미세한 파손,보통,"플라스틱 비건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,일부 없음,더러움 (재활용 불가)
0025,img_0025_front,불가능,불가능,정확,기타,실리콘,없음,깨끗,실리콘/고무 소재는 재활용 불가능,비건전지 장난감 (,실리콘,있음,깨끗 (미세소독 필요)
0026,img_0026_front,불가능,가능,오류,건전지 장난감,플라스틱,없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,일부 없음,보통
0027,img_0027_front,불가능,가능,오류,기타,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,일부 없음,보통
0028,img_0028_front,불가능,가능,오류,기타,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",플라스틱으로만 된 장난감부품 (큰것),플라스틱,있음,보통
0029,img_0029_front,불가능,불가능,정확,건전지 장난감,"플라스틱,금속",부품 누락,약간 더러움,오염 상태로 위생상 기부 불가,건전지 장난감 (사운드북 포함),플라스틱,일부 없음,더러움 (재활용 불가)
0030,img_0030_front,불가능,가능,오류,자동차 장난감,플라스틱,없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",자동차 장난감,플라스틱,있음,보통
0031,img_0031_front,불가능,불가능,정확,공,"플라스틱,섬유",없음,깨끗,천/섬유 소재는 위생상 기부 불가,건전지 장난감 (사운드북 포함),플라스틱,일부 없음,보통
0032,img_0032_front,불가능,가능,오류,자동차 장난감,"플라스틱,금속",없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,일부 없음,보통
0033,img_0033_front,불가능,불가능,정확,플라스틱 부품,플라스틱,없음,깨끗,플라스틱 부품은 기부 불가,비건전지 장난감 (,실리콘,있음,깨끗 (미세소독 필요)
0034,img_0034_front,불가능,불가능,정확,건전지 장난감,플라스틱,미세한 파손,깨끗,경미한 문제로 수리 필요,건전지 장난감 (사운드북 포함),플라스틱,일부 없음,더러움 (재활용 불가)
0035,img_0035_front,불가능,가능,오류,자동차 장난감,플라스틱,미세한 파손,깨끗,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,일부 없음,더러움 (재활용 불가)
0036,img_0036_front,불가능,가능,오류,블록,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",기타,플라스틱,판단 불가,보통
0037,img_0037_front,불가능,가능,오류,자동차 장난감,"플라스틱,금속",없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,일부 없음,보통
0038,img_0038_front,불가능,가능,오류,자동차 장난감,"플라스틱, 금속",없음,깨끗,"플라스틱 건전지 장난감, 상태 양호",자동차 장난감,플라스틱,일부 없음,보통
0039,img_0039_front,불가능,가능,오류,변신 로봇,"플라스틱,금속",없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,판단 불가,보통
0040,img_0040_front,불가능,가능,오류,비건전지 장난감,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",플라스틱으로만 된 장난감부품 (큰것),플라스틱,판단 불가,보통
0041,img_0041_front,불가능,가능,오류,피규어,플라스틱,미세한 파손,깨끗,"플라스틱 비건전지 장난감, 상태 양호",플라스틱으로만 된 장난감부품 (큰것),플라스틱,있음,더러움 (재활용 불가)
0042,img_0042_front,불가능,불가능,정확,자동차 장난감,"플라스틱,고무",경미한 파손,약간 더러움,실리콘/고무 소재는 재활용 불가능,자동차 장난감,플라스틱,일부 없음,더러움 (재활용 불가)
0043,img_0043_front,불가능,가능,오류,변신 로봇,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",변신 로봇,플라스틱,일부 없음,더러움 (재활용 불가)
0044,img_0044_front,불가능,가능,오류,기타,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,판단 불가,보통
0045,img_0045_front,불가능,가능,오류,피규어,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",피규어,플라스틱,일부 없음,보통
0046,img_0046_front,불가능,가능,오류,자동차 장난감,"플라스틱, 금속",없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,일부 없음,더러움 (재활용 불가)
0047,img_0047_front,불가능,가능,오류,변신 로봇,"플라스틱, 금속",경미한 파손,보통,"플라스틱 비건전지 장난감, 상태 양호",자동차 장난감,플라스틱,일부 없음,더러움 (재활용 불가)
0048,img_0048_front,불가능,가능,오류,피규어,플라스틱,없음,깨끗,"플라스틱 비건전지 장난감, 상태 양호",피규어,"플라스틱, 실리콘",판단 불가,보통
0049,img_0049_front,불가능,가능,오류,피규어,플라스틱,미세한 파손,깨끗,"플라스틱 비건전지 장난감, 상태 양호",건전지 장난감 (사운드북 포함),플라스틱,일부 없음,보통
