IMG_NO,이미지파일,실제_기부가능여부,AI_예측_기부가능여부,정확도,AI_장난감종류,AI_재료,AI_파손,AI_부품누락,AI_오염도,AI_기부불가사유,실제_장난감종류,실제_재료,실제_부품완전성,실제_오염도
0000,img_0000_front,불가능,불가능,정확,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,피규어,"플라스틱, 천",있음,깨끗 (미세소독 필요)
0001,img_0001_front,가능,불가능,오류,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
0002,img_0002_front,가능,불가능,오류,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,피규어,플라스틱,있음,깨끗 (미세소독 필요)
0003,img_0003_front,가능,불가능,오류,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,변신 로봇,플라스틱,있음,깨끗 (미세소독 필요)
0004,img_0004_front,가능,불가능,오류,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요)
0005,img_0005_front,가능,불가능,오류,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
0006,img_0006_front,가능,불가능,오류,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
0007,img_0007_front,가능,불가능,오류,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요)
0008,img_0008_front,가능,불가능,오류,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
0009,img_0009_front,가능,불가능,오류,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
0010,img_0010_front,불가능,불가능,정확,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,비건전지 장난감 (,플라스틱,판단 불가,깨끗 (미세소독 필요)
0011,img_0011_front,가능,불가능,오류,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,피규어,플라스틱,있음,깨끗 (미세소독 필요)
0012,img_0012_front,불가능,불가능,정확,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,나무 장난감,나무,있음,깨끗 (미세소독 필요)
0013,img_0013_front,가능,불가능,오류,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
0014,img_0014_front,가능,불가능,오류,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,건전지 장난감 (사운드북 포함),플라스틱,있음,보통
0015,img_0015_front,가능,불가능,오류,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
0016,img_0016_front,가능,불가능,오류,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
0017,img_0017_front,불가능,불가능,정확,기타,wood,none,불명,깨끗,경미한 문제로 수리 필요,나무 장난감,나무,있음,깨끗 (미세소독 필요)
0018,img_0018_front,불가능,불가능,정확,기타,wood,none,불명,깨끗,경미한 문제로 수리 필요,나무 장난감,나무,있음,깨끗 (미세소독 필요)
0019,img_0019_front,불가능,불가능,정확,기타,plastic,minor_damage,불명,깨끗,경미한 문제로 수리 필요,자동차 장난감,플라스틱,있음,보통
0020,img_0020_front,불가능,불가능,정확,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,인형,"나무, 천",있음,보통
0021,img_0021_front,불가능,불가능,정확,기타,plastic,moderate_damage,불명,깨끗,경미한 문제로 수리 필요,피규어,"플라스틱, 실리콘",일부 없음,더러움 (재활용 불가)
0022,img_0022_front,불가능,불가능,정확,기타,fabric,minor_damage,불명,깨끗,경미한 문제로 수리 필요,인형,천,있음,보통
0023,img_0023_front,불가능,불가능,정확,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요)
0024,img_0024_front,불가능,불가능,정확,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,건전지 장난감 (사운드북 포함),플라스틱,일부 없음,더러움 (재활용 불가)
0025,img_0025_front,불가능,불가능,정확,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,비건전지 장난감 (,실리콘,있음,깨끗 (미세소독 필요)
0026,img_0026_front,불가능,불가능,정확,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,건전지 장난감 (사운드북 포함),플라스틱,일부 없음,보통
0027,img_0027_front,불가능,불가능,정확,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,건전지 장난감 (사운드북 포함),플라스틱,일부 없음,보통
0028,img_0028_front,불가능,불가능,정확,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,플라스틱으로만 된 장난감부품 (큰것),플라스틱,있음,보통
0029,img_0029_front,불가능,불가능,정확,기타,mixed,severe_damage,불명,깨끗,경미한 문제로 수리 필요,건전지 장난감 (사운드북 포함),플라스틱,일부 없음,더러움 (재활용 불가)
0030,img_0030_front,불가능,불가능,정확,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,자동차 장난감,플라스틱,있음,보통
0031,img_0031_front,불가능,불가능,정확,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,건전지 장난감 (사운드북 포함),플라스틱,일부 없음,보통
0032,img_0032_front,불가능,불가능,정확,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,자동차 장난감,플라스틱,일부 없음,보통
0033,img_0033_front,불가능,불가능,정확,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,비건전지 장난감 (,실리콘,있음,깨끗 (미세소독 필요)
0034,img_0034_front,불가능,불가능,정확,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,건전지 장난감 (사운드북 포함),플라스틱,일부 없음,더러움 (재활용 불가)
0035,img_0035_front,불가능,불가능,정확,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,자동차 장난감,플라스틱,일부 없음,더러움 (재활용 불가)
0036,img_0036_front,불가능,불가능,정확,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,기타,플라스틱,판단 불가,보통
0037,img_0037_front,불가능,불가능,정확,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,자동차 장난감,플라스틱,일부 없음,보통
0038,img_0038_front,불가능,불가능,정확,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,자동차 장난감,플라스틱,일부 없음,보통
0039,img_0039_front,불가능,불가능,정확,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,건전지 장난감 (사운드북 포함),플라스틱,판단 불가,보통
0040,img_0040_front,불가능,불가능,정확,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,플라스틱으로만 된 장난감부품 (큰것),플라스틱,판단 불가,보통
0041,img_0041_front,불가능,불가능,정확,기타,plastic,minor_damage,불명,깨끗,경미한 문제로 수리 필요,플라스틱으로만 된 장난감부품 (큰것),플라스틱,있음,더러움 (재활용 불가)
0042,img_0042_front,불가능,불가능,정확,기타,mixed,moderate_damage,불명,깨끗,경미한 문제로 수리 필요,자동차 장난감,플라스틱,일부 없음,더러움 (재활용 불가)
0043,img_0043_front,불가능,불가능,정확,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,변신 로봇,플라스틱,일부 없음,더러움 (재활용 불가)
0044,img_0044_front,불가능,불가능,정확,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,건전지 장난감 (사운드북 포함),플라스틱,판단 불가,보통
0045,img_0045_front,불가능,불가능,정확,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,피규어,플라스틱,일부 없음,보통
0046,img_0046_front,불가능,불가능,정확,기타,mixed,minor_damage,불명,깨끗,경미한 문제로 수리 필요,자동차 장난감,플라스틱,일부 없음,더러움 (재활용 불가)
0047,img_0047_front,불가능,불가능,정확,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,자동차 장난감,플라스틱,일부 없음,더러움 (재활용 불가)
0048,img_0048_front,불가능,불가능,정확,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,피규어,"플라스틱, 실리콘",판단 불가,보통
0049,img_0049_front,불가능,불가능,정확,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,건전지 장난감 (사운드북 포함),플라스틱,일부 없음,보통
0050,img_0050_front,불가능,불가능,정확,기타,plastic,minor_damage,불명,깨끗,경미한 문제로 수리 필요,자동차 장난감,플라스틱,있음,더러움 (재활용 불가)
0051,img_0051_front,불가능,불가능,정확,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,자동차 장난감,플라스틱,일부 없음,더러움 (재활용 불가)
0052,img_0052_front,불가능,불가능,정확,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,변신 로봇,플라스틱,일부 없음,보통
0053,img_0053_front,불가능,불가능,정확,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,자동차 장난감,플라스틱,일부 없음,보통
0054,img_0054_front,불가능,불가능,정확,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,자동차 장난감,플라스틱,일부 없음,더러움 (재활용 불가)
0055,img_0055_front,불가능,불가능,정확,기타,mixed,minor_damage,불명,깨끗,경미한 문제로 수리 필요,자동차 장난감,플라스틱,일부 없음,보통
0056,img_0056_front,불가능,불가능,정확,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,기타,플라스틱,판단 불가,보통
0057,img_0057_front,불가능,불가능,정확,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,피규어,플라스틱,일부 없음,깨끗 (미세소독 필요)
0058,img_0058_front,가능,불가능,오류,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
0059,img_0059_front,가능,불가능,오류,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
0060,img_0060_front,가능,불가능,오류,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
0061,img_0061_front,가능,불가능,오류,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
0062,img_0062_front,가능,불가능,오류,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요)
0063,img_0063_front,가능,불가능,오류,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,자동차 장난감,플라스틱,있음,깨끗 (미세소독 필요)
0064,img_0064_front,가능,불가능,오류,기타,plastic,none,불명,깨끗,경미한 문제로 수리 필요,건전지 장난감 (사운드북 포함),플라스틱,있음,깨끗 (미세소독 필요)
0065,img_0065_front,가능,불가능,오류,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
0066,img_0066_front,가능,불가능,오류,기타,mixed,none,불명,깨끗,경미한 문제로 수리 필요,비건전지 장난감 (,플라스틱,있음,깨끗 (미세소독 필요)
