product_name,retail_price,used_price_avg,retail_link
헬로카봇 [한정판] 크리스탈카봇 댄디 앰뷸런스 X,44000,,https://search.shopping.naver.com/catalog/55300994124
헬로카봇 [한정판] 크리스탈카봇 스카이 스와트 X,39900,,https://smartstore.naver.com/main/products/9490318523
헬로카봇 [한정판] 크리스탈카봇 스톰 X,72000,20000,https://search.shopping.naver.com/catalog/47305974618
헬로카봇 [한정판] 크리스탈카봇 에이스 레스큐 X,44000,,https://smartstore.naver.com/main/products/9326929054
헬로카봇 [한정판] 크리스탈카봇 펜타스톰 X,84850,,https://search.shopping.naver.com/catalog/47400281620
헬로카봇 [한정판] 크리스탈카봇 프론 폴리스 X,85000,,https://smartstore.naver.com/main/products/9458218378
헬로카봇 [한정판] 크리스탈카봇 호크 X,79800,,https://smartstore.naver.com/main/products/10714254977
헬로카봇 가디언트,48000,,https://search.shopping.naver.com/catalog/51830442176
헬로카봇 고람빅쿵 올스타,40500,,https://search.shopping.naver.com/catalog/51615409624
헬로카봇 고스트체이서 트루,35800,10400,https://search.shopping.naver.com/catalog/51856275620
헬로카봇 골드렉스,36461,11000,https://search.shopping.naver.com/catalog/51615244620
헬로카봇 골드렉스 레스큐 올스타,39400,10000,https://search.shopping.naver.com/catalog/51615409620
헬로카봇 골드렉스 올스타,36461,,https://search.shopping.naver.com/catalog/51615244620
헬로카봇 골드렉스 레스큐,39400,12500,https://search.shopping.naver.com/catalog/51615409620
헬로카봇 극장판 그린팜,22000,8000,https://smartstore.naver.com/main/products/8873624474
헬로카봇 극장판 킹도저,30000,,https://smartstore.naver.com/main/products/8252743736
헬로카봇 극장판 티라이오,30000,15000,https://smartstore.naver.com/main/products/8252743736
헬로카봇 극장판 파워크루저,16900,30000,https://smartstore.naver.com/main/products/10780683839
헬로카봇 나이트 X,22420,,https://search.shopping.naver.com/catalog/52001128864
헬로카봇 나이트호퍼,32000,17000,https://search.shopping.naver.com/catalog/34938644618
헬로카봇 다이어EX,28340,16000,https://search.shopping.naver.com/catalog/47056303479
헬로카봇 댄디,28480,11666.66667,https://search.shopping.naver.com/catalog/29183272305
헬로카봇 댄디 뉴구급차,43301,,https://search.shopping.naver.com/catalog/54190212268
헬로카봇 댄디 앰뷸런스 X,30438,,https://search.shopping.naver.com/catalog/47237482620
헬로카봇 도저밤밤 변신로봇,18600,,https://search.shopping.naver.com/catalog/34787881618
헬로카봇 드라고닉스,54000,15000,https://search.shopping.naver.com/catalog/52482118581
헬로카봇 드로캅 변신로봇,40420,24666.66667,https://search.shopping.naver.com/catalog/34788480618
헬로카봇 드릴버스트,34000,14500,https://search.shopping.naver.com/catalog/48138028246
헬로카봇 디고베어 젬,36090,,https://search.shopping.naver.com/catalog/55051720836
헬로카봇 라란자 변신로봇,48600,,https://smartstore.naver.com/main/products/6456004578
헬로카봇 라이캅스,54500,12000,https://search.shopping.naver.com/catalog/51615024626
헬로카봇 라이캅스 올스타,54500,,https://search.shopping.naver.com/catalog/51615024626
헬로카봇 럭키펀치,25900,10666.66667,https://search.shopping.naver.com/catalog/35274058620
헬로카봇 레드와일러,35980,,https://smartstore.naver.com/main/products/11730445208
